Index	HEX_600	06_HEX_weighted_average_distance	06_HEX_weighted_mean_home_distance	06_HEX_weighted_max_home_distance	06_HEX_weighted_median_home_distance	06_HEX_weighted_radius_of_gyration	06_HEX_weighted_num_reporting_2015	06_HEX_weighted_HEX_coverage	06_HEX_weighted_subject_coverage	06_HEX_weighted_subject_hhi	06_HEX_total_reporting	06_HEX_total_user	user_type	reporting_level
0	0	5584.1556592091	4132.5100901609	11578.0097821607	3769.0850514539	2227.6589905273	997	273	8	0.2846895752	4	2	3	2
1	8	5832.7662519506	4799.6444843066	13050.6876816829	4359.2264129443	2286.373489556	597.5714285714	178.7142857143	7.1428571429	0.2783293402	49	21	3	2
2	9	1338.9322734038	1127.1967952407	2248.7400456594	1052.3383251834	421.5309827437	51.7391304348	16.4782608696	1.9130434783	0.6854650039	529	253	3	2
3	10	671.4109405873	649.9158192124	1662.4480747151	491.0982970988	190.7702195564	12.3448275862	6.1724137931	1.8620689655	0.6690921098	841	348	3	2
4	11	246.0203717265	373.5008553155	517.1038571592	424.5084209692	127.0688727368	6	3	2	0.5555555556	4	2	3	2
5	13	1503.6690689393	1455.8282404244	3280.6681705451	1545.5256718123	387.7638857427	17.8333333333	13.5	2.8333333333	0.5992139895	36	18	3	2
6	14	2860.3305195297	4480.5209296218	8006.1907295292	4293.7382090516	1075.760882281	165.3913043478	58.4782608696	3.4347826087	0.5202216846	529	345	3	2
7	22	5584.1556592091	4132.5100901609	11578.0097821607	3769.0850514539	2227.6589905273	997	273	8	0.2846895752	1	1	3	2
8	23	494.0191841149	376.7043375608	1024.4331693169	275.7471860715	142.8269926234	11.3333333333	5.5833333333	1.6388888889	0.6989450024	1296	540	3	2
9	24	1311.0386063467	1171.3843407507	2784.4982117121	1181.2691801315	400.85119314	112.0731707317	33.4146341463	3	0.5948658765	1681	656	3	2
10	25	1067.1448120789	2325.354748371	3638.8914920833	2144.4237964387	380.5149410886	73.6785714286	25.3214285714	2.8928571429	0.5733021826	3136	896	3	2
11	26	325.6281833183	2706.9922195568	2899.9555721387	2691.2881248472	156.650532721	6.2	2.8	2.4	0.4955833333	25	15	3	2
12	29	4628.1818492691	3083.8906362864	9256.2463628089	1997.3710999804	1846.89701021	248	82.8	4	0.480049716	25	20	3	2
13	30	2242.3912853866	2884.1462145279	5957.0746642783	2679.9796348544	851.8813466279	148.25	51.625	3.25	0.3751903212	64	56	3	2
14	31	719.0635885098	661.59454032	1303.3732636419	676.6843000842	235.4451813029	22.5875	8.6125	2.0625	0.6680676397	6400	2560	3	2
15	32	649.2199232868	788.2582013857	1528.1580425765	765.9428364316	243.2677365305	20.9852941176	11.2647058824	1.9705882353	0.661012674	4624	1632	3	2
16	33	1635.9855033639	2483.30031216	3569.9710483495	2750.7800130384	644.3954055745	7.0526315789	4.3157894737	1.9473684211	0.7503759316	361	171	3	2
17	34	5594.5584576196	4216.1803236177	12642.073546081	3148.6736561857	2331.7242713672	328	119	5.5	0.3646867008	16	16	3	2
18	36	466.411431408	376.1260845612	958.6822978186	323.2973524175	170.5882392727	36.4330708661	9.3779527559	2.5748031496	0.7294893443	16129	3810	3	2
19	37	973.0620360173	855.855556806	1943.5231535689	732.8035602733	245.0193505829	43.338028169	14.9014084507	2.1830985915	0.6383326939	5041	1775	3	2
20	38	1860.7328356509	1567.242000022	3888.6130866095	1444.7763314946	732.6435600002	138.1956521739	43.652173913	3.2608695652	0.5594482115	2116	828	3	2
21	39	1590.8362941741	1452.3253776206	3398.6532452559	1176.382876101	525.8209319631	83.1785714286	25.8571428571	2.4642857143	0.5839947909	784	364	3	2
22	40	1404.1172041173	1110.1745684264	2925.5970465111	873.677369832	597.8738710449	35.9	21.6	2.4	0.5993735789	100	60	3	2
23	42	0	11.575169622	11.575169622	11.575169622	0	3	1	2	0.5555555556	9	3	3	2
24	46	1498.8276670791	1277.8278177578	3135.2265890179	1026.6573874739	534.3507965585	68.7066666667	26.76	2.4666666667	0.6440956651	5625	2250	3	2
25	47	832.4015118133	613.1191165578	1480.3570874416	465.8274431155	204.717483134	28.8449197861	8.9197860963	2.0481283422	0.6640945481	34969	12529	3	2
26	48	1850.1552811192	2313.5023620397	4253.6613873249	2268.6767429938	718.7726203779	71.5789473684	24.8947368421	2.2631578947	0.7740264233	361	209	3	2
27	50	1258.7045804787	1062.9959843144	2452.4923478343	1026.334500735	459.3197053423	94.4210526316	26.8947368421	3.3421052632	0.5512874127	1444	494	3	2
28	51	636.7362703298	513.6648415619	1343.5525661538	443.7410317655	236.9943205517	45.2924528302	11.0047169811	2.5330188679	0.7338178822	44944	11236	3	2
29	52	757.8388124855	530.5158451339	1621.059586872	367.9975895171	239.5772228262	61.125	17.6666666667	2.4166666667	0.7083122006	576	288	3	2
30	61	1521.8042023588	1660.3814560208	3316.0582137912	1682.454481827	538.2833766544	69.8	24.65	2.35	0.5426933214	400	260	3	2
31	62	1945.2102741081	1540.6616233394	4087.8928195964	1324.9970265597	663.8622215394	31.68	18.28	2.8	0.4786893478	625	375	3	2
32	64	1071.4891198633	714.0712685517	1992.1371022869	448.2966636055	247.5216568159	113.8888888889	31.3333333333	2.2222222222	0.7229901997	81	36	3	2
33	65	800.9757886486	847.0766861473	2581.4514289862	733.0956083458	385.7822688166	84.0869565217	19.850931677	3.6956521739	0.4483952263	25921	5796	3	2
34	66	400.0719372847	538.8358756598	1355.0959224292	448.5626109371	158.9356898318	20.4366197183	5.0704225352	2.5633802817	0.5823950509	5041	1846	3	2
35	72	5213.6216237571	4776.6981353795	11093.5596394972	4552.023145148	2255.4949400702	90.5	62	2	0.8839938817	4	4	3	2
36	73	1239.5745843977	1187.8372914033	2987.083410049	1088.2674229135	441.9907944939	38.6	22.8	2.3	0.7951975294	100	50	3	2
37	74	1942.915005385	1785.2566084177	4191.2203550019	1743.7399309335	771.3102359933	211.5454545455	64.9090909091	3.5454545455	0.616498834	121	44	3	2
38	75	6136.8961829804	4870.0687056502	12956.4792074668	4317.0851283381	2242.4804097425	207.5	129	6.5	0.3719577539	4	4	3	2
39	76	5931.5441638836	4486.7403614376	12093.0154866794	3946.0015616465	2289.7960344755	570	190	7	0.3426235299	4	4	3	2
40	77	2602.5086940845	3116.3826042567	9729.9840199614	2387.4355275578	1095.2534273376	38	18	3	0.5609418283	25	5	3	2
41	78	1188.8717674366	1162.9966548235	2782.106546388	1045.5571274348	426.1446772661	82.7058823529	28.8823529412	2.3823529412	0.6704783473	1156	442	3	2
42	79	2092.2363264819	1757.8796286877	4273.7369479959	1791.4118634447	738.8989007244	189.9347826087	55.8913043478	3.4456521739	0.516447867	8464	2760	3	2
43	80	1023.2640207243	888.6888906421	2095.0958356713	751.6487725899	332.2863929911	35.7591836735	12.6244897959	2.5224489796	0.5325054199	60025	18865	3	2
44	82	2093.7749929128	1797.7239603829	4008.8601077525	1568.6399022398	685.4016828333	13.6363636364	10.3636363636	2.6363636364	0.5329438821	121	110	3	2
45	83	847.8158085259	667.2942074177	1727.6026239999	553.2209461094	275.8332234535	46.0947368421	12.8421052632	3.6526315789	0.479288342	9025	2375	3	2
46	84	429.8038900655	324.7422219933	910.1899435408	202.8455381557	161.5716966318	19.8857142857	3.2857142857	2.8285714286	0.6300668544	1225	420	3	2
47	92	527.9275532494	455.1857635008	1169.5603435109	422.8595473551	177.7523440205	26.5833333333	13.5	1.5	0.8526872427	144	48	3	2
48	93	3582.6900936803	5644.014984636	10188.1968632481	5663.0845194303	1341.6357338788	507.5	143	6	0.2704312074	4	4	3	2
49	94	412.0507431413	346.9158609569	816.0297197906	295.8400922201	130.6632785731	11.3333333333	7.0555555556	1.9444444444	0.704969243	324	126	3	2
50	95	2721.6468047819	2260.9294230164	5831.7380356632	2016.6475053946	1122.2419723706	57.8333333333	32.5833333333	4.25	0.4014035251	144	96	3	2
51	96	1095.6310305231	779.8427840441	2107.8132903391	516.843721879	273.8055041137	83.8076923077	24.7692307692	2.1538461538	0.5543824932	676	312	3	2
52	97	898.1299948984	808.4962096936	1884.3541215149	796.1900363798	314.1366439022	24.6739130435	9.8152173913	2.0760869565	0.7093349572	8464	3312	3	2
53	98	1191.0349379748	836.9340605803	3933.4292616957	602.6656455954	872.4484706995	80.1363636364	22.6818181818	3.2045454545	0.5763647946	1936	616	3	2
54	99	5584.1556592091	4132.5100901609	11578.0097821607	3769.0850514539	2227.6589905273	997	273	8	0.2846895752	9	3	3	2
55	101	760.2984478921	588.1639527872	1890.3153475675	420.5130563288	319.6921455008	35.003058104	9.9663608563	2.1651376147	0.6836816697	106929	29430	3	2
56	102	1532.0304403199	1514.2081314474	3617.6155833471	1359.6950248786	573.0407063668	82.4330357143	25.8258928571	3.1473214286	0.6091390394	50176	12768	3	2
57	103	2777.9246151879	2635.9537742976	6279.8937501261	2353.6315611808	1033.6213964456	124.6836734694	40.0612244898	3.5510204082	0.4283869237	9604	5292	3	2
58	104	2460.18648923	1990.069623019	5127.1727179017	1727.6473495911	883.2742697578	214.462962963	66.5740740741	3.5740740741	0.5980631028	2916	1188	3	2
59	114	918.6029023101	1191.4855832928	2033.9939900539	1162.1772835672	328.5889808675	66.1764705882	19.7058823529	2.2352941176	0.7489870869	289	136	3	2
60	115	606.2448715121	449.5234428693	1128.9518529543	329.2153550268	157.0467596182	29.8947368421	10	2.3289473684	0.6858111722	5776	1596	3	2
61	116	850.7831676367	1407.0752079243	2192.3782031588	1257.010929295	176.2188829709	7.6774193548	3.8225806452	1.9193548387	0.6879935098	3844	1488	3	2
62	117	1431.8383430561	1332.5387231795	2785.7658154925	1254.9144558663	308.5820602983	88.32	26.08	2.24	0.7459419662	625	300	3	2
63	118	716.0483927908	614.9805871698	1513.7118491225	520.0467767416	250.6239441823	54.6461538462	16.3230769231	2.0307692308	0.6919999466	4225	1430	3	2
64	119	836.3823421048	728.3400008736	1674.8321907648	628.6690455284	316.7684080709	43.1617647059	13.7058823529	2.8235294118	0.6047130973	4624	1564	3	2
65	120	1475.9438901439	1238.4045286272	3127.7719088192	1154.3841324777	547.848736726	116.3725490196	42.2941176471	2.8039215686	0.7184905347	2601	918	3	2
66	121	1536.3458053212	2828.976654919	4649.83207162	2657.6598957854	768.6256268297	86.3882352941	25.0705882353	3.0352941176	0.5501602421	7225	1870	3	2
67	122	1345.0233841275	1738.1419415864	3428.2304731544	1654.8216589566	511.0581110566	134.875	39.25	3	0.6781052026	64	48	3	2
68	123	5291.7527460695	3818.1694984476	8888.1078442247	3358.1795133404	1732.5790174708	359.3333333333	110.3333333333	4.6666666667	0.4684446294	9	9	3	2
69	124	4864.6807074176	4141.4164937388	9391.4620886	4209.4737192906	1525.3930137076	304.4285714286	93	4.7142857143	0.4054106905	49	42	3	2
70	125	6278.9326685581	4840.9706327143	12608.021191198	4122.9180718391	2351.9330784237	143	107	6	0.4005574845	4	2	3	2
71	127	5795.2815466986	5219.6055597892	11781.5098828769	5110.8956872175	1744.9474428831	34	27	3	0.455017301	4	2	3	2
72	128	541.5183627738	402.6197853301	1257.582208311	311.2840821479	242.0351365563	52.0740740741	13.1481481481	2.9444444444	0.5603647026	2916	972	3	2
73	129	695.1492769547	615.0469036243	1498.454579927	563.2914053787	249.4014724878	66.6324786325	17.452991453	2.641025641	0.6252032012	13689	4095	3	2
74	130	1853.2547460627	1528.8605489849	3966.1466301041	1443.6870630388	641.0424705256	174.3009708738	51.7475728155	3.1067961165	0.6390616591	10609	3399	3	2
75	131	1301.8968416102	1252.3568789006	2814.2267384489	1192.5299259042	499.1656560979	128.5813953488	37.4651162791	2.8837209302	0.5209862563	1849	817	3	2
76	132	2483.7318699677	2367.5381313379	5839.0601844463	2078.6124869619	970.6503496958	144.2702702703	42.7702702703	3.6891891892	0.432813472	5476	2442	3	2
77	133	4293.878288657	3281.4447034759	8847.5766144077	2877.0177648797	1637.509140857	463.7954545455	136.6818181818	5.4545454545	0.3817969051	1936	792	3	2
78	134	2729.5097646335	2154.5501094857	5861.0345958983	1914.9902712964	990.1349266497	188.0555555556	73.5555555556	4.1666666667	0.4125389426	324	180	3	2
79	135	286.6090842724	293.3473384243	871.9270816178	289.4197746744	173.6023923022	6	2.25	2.25	0.5288888889	16	8	3	2
80	146	26.2691046328	74.5547637608	90.174731011	73.0498740589	0.6684771073	4.7368421053	1.1052631579	1.5263157895	0.8315789474	361	95	3	2
81	147	1295.2487445955	1451.5676447122	3241.864899926	1230.1419548254	584.8648916598	46.4545454545	16.0909090909	2.1212121212	0.7113184221	1089	561	3	2
82	148	1311.2834209917	1400.9086520867	3080.1255229962	1215.2710738661	541.2202041248	57.8	18.8888888889	2.6666666667	0.6085620628	2025	810	3	2
83	149	980.3172639852	930.3460537299	2803.6810960214	773.9019742897	534.0532123491	62.7820512821	19.5128205128	2.1666666667	0.7629875931	6084	1950	3	2
84	150	1000.6903407731	1148.4264462979	2549.4054347536	1148.9981152622	395.0318120914	68.88	21.52	2.8	0.6100406105	5625	1800	3	2
85	151	1460.3506310964	1381.1660585774	3128.6546755615	1289.2685629224	585.8473543647	150.4285714286	42.1904761905	3.0952380952	0.6466116839	441	231	3	2
86	152	1199.7379195745	991.5784248017	2762.9891031535	745.3419129043	488.1351372624	50.0161290323	18.4193548387	2.7419354839	0.5926074429	3844	1550	3	2
87	153	2053.8389826984	1855.4008856947	4171.144464295	1677.62419712	640.0909011494	83.8387096774	29	3.1935483871	0.4883963405	961	558	3	2
88	154	3764.1412168107	2559.1141462418	5496.8171181761	2893.696004244	362.2270092706	4	2.25	1.75	0.65625	16	12	3	2
89	155	4553.9718815035	3357.7863129422	8660.3847268449	3044.2307167972	1719.3830262994	505	142	5.5	0.5062501131	4	4	3	2
90	156	3617.8718534815	5380.6875612182	8178.4644292275	6866.3933958501	375.7944155156	172.8333333333	48.8333333333	3.8333333333	0.5422399292	36	12	3	2
91	157	744.6463253871	732.648230233	1644.2555359355	627.078869507	279.4948415966	42.0333333333	14.5666666667	2.1333333333	0.708299902	900	420	3	2
92	158	3131.8321316108	2349.22032237	6555.984093519	2112.2431751926	1290.5850851198	428.6153846154	128.0769230769	5.2307692308	0.3853407057	169	65	3	2
93	159	946.6670036922	1092.7787297857	2307.4971206531	992.3851742931	304.2376364449	74.0857142857	21.6857142857	2.8	0.6047112001	1225	490	3	2
94	160	1256.5735625314	1178.0154471811	2910.6407389983	1046.2703371087	481.1800714683	108.3021978022	32.543956044	2.8681318681	0.6347379343	33124	10374	3	2
95	161	1355.0332997274	1396.0446943338	3314.0602668769	1269.4513026701	531.1882370806	92.186440678	23.5084745763	4.1610169492	0.5203641333	13924	4130	3	2
96	162	2125.6360749174	1805.4860197808	4590.7051010963	1597.7681124111	806.6383655501	187.8909090909	55.8454545455	3.6272727273	0.5505364157	12100	4950	3	2
97	163	1167.246090871	1050.1361517042	2488.3644213201	924.1703719101	441.2696558189	102.0731707317	28.9817073171	2.737804878	0.5964561736	26896	6888	3	2
98	164	2270.4909397955	1717.6565883014	4688.6811292675	1431.515041389	834.1004945798	160.6707317073	49.1829268293	3.5853658537	0.5523464018	6724	2542	3	2
99	165	2468.3004053775	1949.7707046154	4801.9587375656	1769.0961026987	846.6953557416	166.5517241379	52.8275862069	3.724137931	0.5035715867	841	406	3	2
100	166	1984.9777686443	3070.0959549569	5656.1183907809	2888.5811976461	732.5031960112	144.12	48.12	2.88	0.6775571313	625	350	3	2
101	167	2893.0949332114	2492.6186585719	5848.3710509211	2221.7841690494	1058.2225227293	335.3333333333	93.3333333333	4.6666666667	0.2998965251	9	9	3	2
102	168	4646.7733793664	3739.1292290606	9745.3144369192	3447.3046504398	1664.6555784101	283.3333333333	115.5	6	0.3305671581	36	30	3	2
103	177	1075.8959823406	676.3585202872	5342.8369394227	290.9541374973	1241.9853874781	41.34	9.3	2.96	0.6271793183	2500	500	3	2
104	178	1402.4461684488	1223.9534174005	2982.6858743203	1437.6389546964	389.4474923424	36.8709677419	20.1612903226	2.5161290323	0.6899930059	961	403	3	2
105	179	923.8449057264	821.1224341995	2673.1396196779	641.498253018	528.495970233	18.7755102041	9.1836734694	2.2857142857	0.6699289627	2401	931	3	2
106	180	510.5107260028	545.1059404443	1117.421233781	609.2960023422	136.3963141068	15.978021978	6.6043956044	2.010989011	0.7167837899	8281	2275	3	2
107	181	1912.1326084749	1765.0513644205	4013.5196076137	1715.6719078865	684.181231196	102.46875	38.96875	2.59375	0.6255375817	1024	384	3	2
108	182	5584.1556592091	4132.5100901609	11578.0097821607	3769.0850514539	2227.6589905273	997	273	8	0.2846895752	1	1	3	2
109	183	1950.1393043746	1656.1164749224	5123.8785833826	1258.1697240991	934.129896447	24	7	3	0.5333333333	4	4	3	2
110	184	2836.220406472	2653.8564455402	6415.5527083	2419.6600616353	1091.8836650159	167.96	47.32	3.24	0.5500095003	625	350	3	2
111	185	1354.8220574707	1415.9782392843	2874.2182383356	1361.2008986644	472.2245278153	47.2222222222	15.7037037037	2.7037037037	0.5801409671	729	351	3	2
112	186	1410.0799475432	1150.8342222816	2880.7768183728	945.7405829451	526.962300482	29.0571428571	16.3428571429	2.3142857143	0.6535189476	1225	665	3	2
113	187	1185.4582750704	1023.7668308372	2476.6606692964	907.3765030384	409.2755044728	85.4	28.0952380952	2.3333333333	0.7061638655	11025	4200	3	2
114	188	430.4908425743	363.9429511061	1120.6786853451	281.9234965267	208.465832373	31.3793103448	8.5440613027	2.7318007663	0.5921337124	68121	17748	3	2
115	189	798.0426542036	824.8493798652	2007.8477770457	605.8680329261	273.1907393447	47.6153846154	10.3603238866	2.5101214575	0.6279077261	61009	16549	3	2
116	190	775.3773226754	782.6698319843	2012.9215697797	629.2500185587	325.2350432732	58.6470588235	15.512605042	2.2100840336	0.6987185902	14161	4165	3	2
117	191	4160.6181568325	2933.4001652114	8976.8602063657	2365.9285270238	1673.0115548966	528.25	154	5.375	0.4739771632	64	40	3	2
118	192	1562.6299602939	1675.7131977058	3480.8581798373	1644.9532937513	523.8736449641	67.5714285714	25.3333333333	2.4761904762	0.6159005422	1764	756	3	2
119	193	2877.6688104459	2546.3943453726	6725.8000016928	2324.7099598333	1111.5044358083	257.75	75	3.75	0.3718384936	16	12	3	2
120	194	4559.2859481247	3724.9952145815	9317.4782659578	2542.8507146535	1244.9258530216	18	11	3	0.614988499	9	9	3	2
121	195	4832.2151838474	3980.3054808308	11238.2184864242	3515.12405338	1920.9911158468	382.25	143.5	5.75	0.450512108	64	32	3	2
122	202	4754.9280164123	6371.9872680365	7781.7106931405	7781.7106931405	1486.2053094941	14	5	3	0.5	1	1	3	2
123	203	1501.7485349075	1239.8410198488	3571.0177169254	1061.221485568	640.7885878256	47.380952381	27.0952380952	3.5238095238	0.5050266152	441	231	3	2
124	204	1680.6777066227	2416.4399402206	4802.4267532636	2089.7689137169	646.9831752207	106.28125	29.71875	3.4583333333	0.5456540845	9216	2400	3	2
125	205	1840.0166453981	1266.0526373974	3547.0788681038	968.7749298495	566.6911869074	252.25	69.75	2.75	0.8211723938	16	12	3	2
126	206	2083.7681051321	2034.1357432904	4448.1397871048	2470.8195739568	723.0787096887	10	7	3	0.54	1	1	3	2
127	207	3012.8300084897	2313.4442803955	6788.2755578199	1795.0444172157	1078.32933529	146	48.5142857143	3.6571428571	0.4868582682	1225	700	3	2
128	208	2738.5578315267	2028.8809866164	5689.8314912951	1686.9920132728	1018.9694336079	255.3076923077	76.7692307692	4.0769230769	0.4589318493	676	312	3	2
